session_id,user_pseudo_id,user_id,session_date,source,medium,device
S-4ee8690a-4a5,GA-d9f9ccc3-27df-46bf-ad1b-6753836fd7d4,,2024-11-08 16:21:34.479293,direct,cpc,tablet
S-1c8a0976-e98,GA-42c129a4-3563-44fb-bc26-f8053201ab87,,2024-11-18 07:08:27.646849,instagram,email,desktop
S-9c30dadc-284,GA-b553eab9-733d-4742-8d81-d6157805933e,,2024-11-21 16:54:22.019132,instagram,none,mobile
S-51040931-bd3,GA-6e4648d6-984a-4569-87ef-7a2804d558c2,,2024-11-23 17:22:21.448254,instagram,cpc,desktop
S-85daa00c-8c4,GA-42c129a4-3563-44fb-bc26-f8053201ab87,U-520cd761,2024-11-24 07:08:27.646849,google,organic,desktop
S-250cea3d-03a,GA-5838367e-a8ef-4a99-92a9-c927f4069e65,,2024-11-25 18:13:21.911402,newsletter,email,mobile
S-7de6f399-748,GA-91a1e0f5-5053-4983-9a5b-f51e85b153a6,,2024-11-26 08:52:45.847856,facebook,email,mobile
S-de946d5a-6bf,GA-2639667b-d652-414f-835f-6ba0dc143999,,2024-11-28 18:37:31.158099,instagram,email,desktop
S-74cf03d4-cba,GA-6a086891-301b-45d1-8b9c-6da45098a1b0,,2024-12-01 07:19:50.736840,facebook,social,desktop
S-64b0c633-191,GA-ad8f7847-7310-49fe-8ec5-2824583b1924,,2024-12-01 08:00:44.457002,instagram,cpc,desktop
S-68256927-d4a,GA-49c4181c-3360-4c3e-a7e6-0b308739b319,,2024-12-02 22:42:27.857362,instagram,social,desktop
S-e2f708a3-62d,GA-462ff47f-e510-4d9c-9660-d20692c3f519,U-64fe4e49,2024-12-03 02:15:26.044702,instagram,cpc,tablet
S-3ac3de17-832,GA-52ea41c5-4db6-4fe3-99a6-d0b7475df6d7,,2024-12-04 08:24:45.675694,instagram,organic,desktop
S-f13d2da8-2d9,GA-f50f0a31-a3d3-4b3e-b269-5a1ee1f95d95,,2024-12-05 03:46:34.292428,google,none,mobile
S-6004d2d1-acb,GA-f05cd29d-1d01-4609-a49c-7252625167d1,U-d7a260e4,2024-12-06 20:38:04.120095,facebook,none,desktop
S-d2a88063-317,GA-d854c2b4-90ae-4d0d-9457-4e16d792ad4e,,2024-12-07 07:40:21.032118,newsletter,none,mobile
S-46c949ba-c8d,GA-d9541208-3567-4126-859c-0ca6faabae0e,,2024-12-09 05:30:07.912264,google,none,desktop
S-2c09598e-66f,GA-291ceb4b-11b1-4e26-a249-3cf44ac11e3a,,2024-12-09 14:33:12.942277,newsletter,none,desktop
S-d19cec19-18b,GA-d9f9ccc3-27df-46bf-ad1b-6753836fd7d4,U-3122c129,2024-12-09 16:21:34.479293,newsletter,none,tablet
S-34de3546-38e,GA-6a2b7cea-9223-48fb-9a25-ede4a90b7cef,,2024-12-10 06:51:25.896081,facebook,email,mobile
S-0883630e-0cc,GA-3788e6c1-81ed-46f7-a5ef-7266cc107aa8,,2024-12-10 13:15:44.036441,direct,organic,desktop
S-884ca6f2-446,GA-ca0bd0e6-9e9a-4cf9-bb62-fbbea7575614,,2024-12-11 06:02:19.977520,google,cpc,desktop
S-07e088f4-f21,GA-8f8eb4a2-b904-4f57-bf54-5a231fbb5457,,2024-12-12 20:51:11.611958,direct,email,mobile
S-e45525b0-70e,GA-cf42e112-9477-4843-9cc9-1b331163894f,,2024-12-16 05:58:14.670462,newsletter,social,mobile
S-4fb26253-bac,GA-b56d2d7d-4fcd-4fc7-94c3-bacbb41b45b2,,2024-12-17 17:27:52.887321,google,cpc,mobile
S-622bffe6-171,GA-d5cd9113-97de-49dc-8fe7-24a6ba213f8b,U-2897f60a,2024-12-17 22:56:13.741208,newsletter,none,mobile
S-77a66607-5ed,GA-d5cd9113-97de-49dc-8fe7-24a6ba213f8b,U-2897f60a,2024-12-17 22:56:13.741208,google,cpc,mobile
S-52bd9947-f21,GA-a7182b79-24e2-4305-9d03-255d5d20f2fb,,2024-12-18 01:55:47.636614,direct,social,desktop
S-151a4e3c-d66,GA-943a8194-fb48-4a0a-9a9f-64cd04626f0d,,2024-12-18 06:03:24.645555,instagram,organic,desktop
